id_chamada;data;nome_fluxo;qtde_rtd_nok;qtde_rtd_ok;qtde_chamadas;tempo_total_rtd;tempo_min_rtd;tempo_max_rtd;tempo_medio_rtd
9cf0cd9a56;23/02/2023;upgradenbo;0;1;1;1,9105381965637207;1,9105381965637207;1,9105381965637207;1,9105381965637207;
deb1150c31;23/02/2023;downgradenbo;0;1;1;9,706514596939087;9,706514596939087;9,706514596939087;9,706514596939087;
3501d9f9c3;23/02/2023;migracaolateralnbo;0;1;1;2,800987958908081;2,800987958908081;2,800987958908081;2,800987958908081;
e71b52a338;23/02/2023;migracaolateralnbo;0;1;1;4,851006269454956;4,851006269454956;4,851006269454956;4,851006269454956;
820b6a1a18;23/02/2023;upgradenbo;0;1;1;5,794163703918457;5,794163703918457;5,794163703918457;5,794163703918457;
82017cfa90;23/02/2023;downgradenbo;0;1;1;6,703071117401123;6,703071117401123;6,703071117401123;6,703071117401123;
70eccf9424;23/02/2023;upgradenbo;0;1;1;11,863026857376099;11,863026857376099;11,863026857376099;11,863026857376099;
e0de29937e;23/02/2023;upgradenbo;0;1;1;14,139249324798584;14,139249324798584;14,139249324798584;14,139249324798584;
72cac2cf5d;23/02/2023;upgradenbo;0;1;1;10,398080348968506;10,398080348968506;10,398080348968506;10,398080348968506;
c97f3dd1d8;23/02/2023;downgradenbo;0;1;1;8,918361902236938;8,918361902236938;8,918361902236938;8,918361902236938;
98984573bb;23/02/2023;upgradenbo;0;1;1;11,930736780166626;11,930736780166626;11,930736780166626;11,930736780166626;
48f17e95fc;23/02/2023;migracaolateralnbo;0;1;1;7,699118137359619;7,699118137359619;7,699118137359619;7,699118137359619;
ffd2474db0;23/02/2023;migracaolateralnbo;0;1;1;6,370218992233276;6,370218992233276;6,370218992233276;6,370218992233276;
0f94bb2c02;23/02/2023;downgradenbo;0;1;1;2,047292947769165;2,047292947769165;2,047292947769165;2,047292947769165;
73f9aac4e7;23/02/2023;migracaolateralnbo;0;1;1;5,7997496128082275;5,7997496128082275;5,7997496128082275;5,7997496128082275;
5fe68ea0f2;23/02/2023;downgradenbo;0;1;1;6,482865333557129;6,482865333557129;6,482865333557129;6,482865333557129;
7493a261da;23/02/2023;migracaolateralnbo;0;1;1;2,44883131980896;2,44883131980896;2,44883131980896;2,44883131980896;
02a1b9f87c;23/02/2023;migracaolateralnbo;0;1;1;2,6255857944488525;2,6255857944488525;2,6255857944488525;2,6255857944488525;
e7b356c336;23/02/2023;downgradenbo;0;1;1;12,033390283584595;12,033390283584595;12,033390283584595;12,033390283584595;
cd1b8bd2c2;23/02/2023;migracaolateralnbo;0;1;1;10,067770004272461;10,067770004272461;10,067770004272461;10,067770004272461;
ccf961c23a;23/02/2023;downgradenbo;0;1;1;2,6404757499694824;2,6404757499694824;2,6404757499694824;2,6404757499694824;
ea899b5640;23/02/2023;upgradenbo;0;1;1;2,0971312522888184;2,0971312522888184;2,0971312522888184;2,0971312522888184;
e374ead7af;24/02/2023;upgradenbo;0;1;1;11,316160440444946;11,316160440444946;11,316160440444946;11,316160440444946;
2dd3c53a92;24/02/2023;downgradenbo;0;1;1;3,0040009021759033;3,0040009021759033;3,0040009021759033;3,0040009021759033;
60496d4d22;24/02/2023;upgradenbo;0;1;1;2,4542312622070312;2,4542312622070312;2,4542312622070312;2,4542312622070312;
0bb148bb7e;24/02/2023;migracaolateralnbo;0;1;1;2,5472090244293213;2,5472090244293213;2,5472090244293213;2,5472090244293213;
cc0b12d1d2;24/02/2023;upgradenbo;0;1;1;4,757224798202515;4,757224798202515;4,757224798202515;4,757224798202515;
54fa738c55;24/02/2023;upgradenbo;0;1;1;2,252290725708008;2,252290725708008;2,252290725708008;2,252290725708008;
13ea0c112c;24/02/2023;upgradenbo;0;1;1;2,624730110168457;2,624730110168457;2,624730110168457;2,624730110168457;
762de63002;24/02/2023;migracaolateralnbo;0;1;1;9,310020923614502;9,310020923614502;9,310020923614502;9,310020923614502;
a46be80dce;24/02/2023;upgradenbo;0;1;1;5,071272373199463;5,071272373199463;5,071272373199463;5,071272373199463;
1e2d8df85d;24/02/2023;upgradenbo;0;1;1;5,006995677947998;5,006995677947998;5,006995677947998;5,006995677947998;
e732e641d3;24/02/2023;upgradenbo;0;1;1;5,239211320877075;5,239211320877075;5,239211320877075;5,239211320877075;
7d1382769a;24/02/2023;downgradenbo;0;1;1;5,139755010604858;5,139755010604858;5,139755010604858;5,139755010604858;
594984a54b;24/02/2023;upgradenbo;0;1;1;7,297788143157959;7,297788143157959;7,297788143157959;7,297788143157959;
867a9796af;24/02/2023;upgradenbo;0;1;1;11,552309274673462;11,552309274673462;11,552309274673462;11,552309274673462;
a120ad6c6f;24/02/2023;migracaolateralnbo;0;1;1;5,1220972537994385;5,1220972537994385;5,1220972537994385;5,1220972537994385;
01e1d82de6;24/02/2023;upgradenbo;0;1;1;2,0746865272521973;2,0746865272521973;2,0746865272521973;2,0746865272521973;
2d5aecb401;24/02/2023;downgradenbo;0;1;1;2,132087230682373;2,132087230682373;2,132087230682373;2,132087230682373;
c7b4519c22;24/02/2023;migracaolateralnbo;0;1;1;2,8593742847442627;2,8593742847442627;2,8593742847442627;2,8593742847442627;
16b36b62d8;24/02/2023;downgradenbo;0;1;1;6,950105428695679;6,950105428695679;6,950105428695679;6,950105428695679;
6ade59cc25;24/02/2023;downgradenbo;0;1;1;4,332582473754883;4,332582473754883;4,332582473754883;4,332582473754883;
4825a30d94;24/02/2023;migracaolateralnbo;0;1;1;2,315614938735962;2,315614938735962;2,315614938735962;2,315614938735962;
0a265cdffe;24/02/2023;downgradenbo;0;1;1;3,0669689178466797;3,0669689178466797;3,0669689178466797;3,0669689178466797;
904ae7a31f;24/02/2023;migracaolateralnbo;0;1;1;2,7264811992645264;2,7264811992645264;2,7264811992645264;2,7264811992645264;
7998c3686b;24/02/2023;upgradenbo;0;1;1;2,263169527053833;2,263169527053833;2,263169527053833;2,263169527053833;
50d79faab8;24/02/2023;downgradenbo;0;1;1;7,531035423278809;7,531035423278809;7,531035423278809;7,531035423278809;
68321f2cc6;24/02/2023;downgradenbo;0;1;1;13,272764921188354;13,272764921188354;13,272764921188354;13,272764921188354;
cbda206771;24/02/2023;upgradenbo;0;1;1;7,593377590179443;7,593377590179443;7,593377590179443;7,593377590179443;
291f15e0bf;24/02/2023;migracaolateralnbo;0;1;1;2,140922784805298;2,140922784805298;2,140922784805298;2,140922784805298;
734923aeb7;24/02/2023;downgradenbo;0;1;1;2,241283655166626;2,241283655166626;2,241283655166626;2,241283655166626;
39d456aad3;24/02/2023;downgradenbo;0;1;1;2,0758156776428223;2,0758156776428223;2,0758156776428223;2,0758156776428223;
f311c93504;24/02/2023;downgradenbo;0;1;1;9,757237911224365;9,757237911224365;9,757237911224365;9,757237911224365;
228314b59d;24/02/2023;downgradenbo;0;1;1;6,024127960205078;6,024127960205078;6,024127960205078;6,024127960205078;
2cb237051e;25/02/2023;upgradenbo;0;1;1;6,262977123260498;6,262977123260498;6,262977123260498;6,262977123260498;
ad89559d6b;25/02/2023;upgradenbo;0;1;1;3,2326133251190186;3,2326133251190186;3,2326133251190186;3,2326133251190186;
04c5bffba0;25/02/2023;downgradenbo;0;1;1;3,5946905612945557;3,5946905612945557;3,5946905612945557;3,5946905612945557;
9bf7b137d1;25/02/2023;upgradenbo;0;1;1;9,60185694694519;9,60185694694519;9,60185694694519;9,60185694694519;
949c551390;25/02/2023;upgradenbo;0;1;1;14,345479011535645;14,345479011535645;14,345479011535645;14,345479011535645;
b6beb17346;25/02/2023;upgradenbo;0;1;1;7,035007476806641;7,035007476806641;7,035007476806641;7,035007476806641;
19ee788075;25/02/2023;upgradenbo;0;1;1;7,879286527633667;7,879286527633667;7,879286527633667;7,879286527633667;
e383c28db0;25/02/2023;downgradenbo;0;1;1;9,111019372940063;9,111019372940063;9,111019372940063;9,111019372940063;
d4750a91a4;25/02/2023;downgradenbo;0;1;1;14,987810611724854;14,987810611724854;14,987810611724854;14,987810611724854;
ac75454e3e;25/02/2023;downgradenbo;0;1;1;5,617651462554932;5,617651462554932;5,617651462554932;5,617651462554932;
6d84c2758b;26/02/2023;upgradenbo;0;1;1;9,51338243484497;9,51338243484497;9,51338243484497;9,51338243484497;
1c41aa73af;26/02/2023;migracaolateralnbo;0;1;1;4,066687822341919;4,066687822341919;4,066687822341919;4,066687822341919;
51eda4a736;26/02/2023;downgradenbo;0;1;1;2,1892175674438477;2,1892175674438477;2,1892175674438477;2,1892175674438477;
1bd86d4303;26/02/2023;upgradenbo;0;1;1;2,211681365966797;2,211681365966797;2,211681365966797;2,211681365966797;
7315a7eb98;26/02/2023;upgradenbo;0;1;1;8,691384077072144;8,691384077072144;8,691384077072144;8,691384077072144;
32b7fee770;26/02/2023;downgradenbo;0;1;1;9,282588958740234;9,282588958740234;9,282588958740234;9,282588958740234;
fe60b2d80c;27/02/2023;upgradenbo;0;1;1;9,475261688232422;9,475261688232422;9,475261688232422;9,475261688232422;
824b89751d;27/02/2023;migracaolateralnbo;0;1;1;16,19564700126648;16,19564700126648;16,19564700126648;16,19564700126648;
7291287513;27/02/2023;downgradenbo;0;1;1;5,437661647796631;5,437661647796631;5,437661647796631;5,437661647796631;
62b00f5205;27/02/2023;migracaolateralnbo;0;1;1;5,668648719787598;5,668648719787598;5,668648719787598;5,668648719787598;
cff6902064;27/02/2023;downgradenbo;0;1;1;2,044236421585083;2,044236421585083;2,044236421585083;2,044236421585083;
2f4be7f508;27/02/2023;migracaolateralnbo;0;1;1;9,88725757598877;9,88725757598877;9,88725757598877;9,88725757598877;
09cf9ad276;27/02/2023;downgradenbo;0;1;1;2,589064359664917;2,589064359664917;2,589064359664917;2,589064359664917;
7b686f7b18;27/02/2023;upgradenbo;0;1;1;12,377053499221802;12,377053499221802;12,377053499221802;12,377053499221802;
c37a8acbde;27/02/2023;downgradenbo;0;1;1;6,28535270690918;6,28535270690918;6,28535270690918;6,28535270690918;
